Date,Open,High,Low,Close,Volume,Ticker
2018-11-01,192.4499969482422,202.1300048828125,185.0,201.47000122070312,6436200,BIDU
2018-11-02,203.22999572753906,206.25,192.02999877929688,194.69000244140625,4683800,BIDU
2018-11-05,194.00999450683594,197.1699981689453,189.14999389648438,190.58999633789062,3222200,BIDU
2018-11-06,191.0800018310547,194.72000122070312,190.4199981689453,192.44000244140625,1812800,BIDU
2018-11-07,196.00999450683594,196.02000427246094,192.35000610351562,195.41000366210938,2063300,BIDU
2018-11-08,193.6999969482422,195.75,187.97999572753906,188.5500030517578,2476300,BIDU
2018-11-09,184.47999572753906,186.25,181.64999389648438,183.75,2928300,BIDU
2018-11-12,183.47000122070312,183.57000732421875,178.88999938964844,180.42999267578125,2290700,BIDU
2018-11-13,182.38999938964844,185.41000366210938,180.22999572753906,183.33999633789062,2968400,BIDU
2018-11-14,185.5,186.97999572753906,181.6699981689453,185.05999755859375,2429900,BIDU
2018-11-15,186.8000030517578,188.5,185.3699951171875,188.41000366210938,2224100,BIDU
2018-11-16,187.07000732421875,188.0,183.58999633789062,186.9499969482422,1624500,BIDU
2018-11-19,185.86000061035156,186.9600067138672,181.88999938964844,183.08999633789062,2665500,BIDU
2018-11-20,177.60000610351562,179.9600067138672,175.32000732421875,177.47999572753906,3485600,BIDU
2018-11-21,180.02000427246094,186.27000427246094,179.52000427246094,183.9499969482422,2704200,BIDU
2018-11-23,181.3800048828125,183.30999755859375,181.0,182.61000061035156,1266300,BIDU
2018-11-26,186.25999450683594,186.8699951171875,183.8300018310547,185.19000244140625,1860600,BIDU
2018-11-27,183.60000610351562,185.25,181.11000061035156,182.7899932861328,2685100,BIDU
2018-11-28,185.8000030517578,188.5,181.75,188.44000244140625,3337600,BIDU
2018-11-29,186.5,187.49000549316406,182.4499969482422,183.22000122070312,3409400,BIDU
2018-11-30,183.0399932861328,189.58999633789062,182.3800048828125,188.27999877929688,2939600,BIDU
2018-12-03,196.0,196.0,189.2100067138672,191.3300018310547,3639200,BIDU
2018-12-04,192.3699951171875,193.5,180.0,182.66000366210938,4593400,BIDU
2018-12-06,176.00999450683594,183.49000549316406,174.66000366210938,180.6999969482422,4346300,BIDU
2018-12-07,180.11000061035156,185.14999389648438,178.6199951171875,179.55999755859375,2854500,BIDU
2018-12-10,178.25999450683594,181.5500030517578,174.25,179.1999969482422,1947000,BIDU
2018-12-11,181.83999633789062,182.10000610351562,176.00999450683594,176.85000610351562,3131700,BIDU
2018-12-12,180.5,182.9499969482422,179.3000030517578,179.75,2784100,BIDU
2018-12-13,182.38999938964844,183.10000610351562,179.1699981689453,179.89999389648438,1797800,BIDU
2018-12-14,177.6999969482422,180.50999450683594,176.47999572753906,177.5399932861328,2075000,BIDU
2018-12-17,176.5800018310547,176.77999877929688,167.52999877929688,169.86000061035156,4193400,BIDU
2018-12-18,173.1199951171875,173.2899932861328,167.2100067138672,167.61000061035156,2953700,BIDU
2018-12-19,167.94000244140625,169.13999938964844,160.0,162.47999572753906,3970000,BIDU
2018-12-20,160.86000061035156,164.58999633789062,159.8300018310547,160.36000061035156,4152200,BIDU
2018-12-21,162.2899932861328,162.77000427246094,156.25,157.4199981689453,4934300,BIDU
2018-12-24,155.2899932861328,161.47999572753906,155.25,157.1199951171875,2354000,BIDU
2018-12-26,158.32000732421875,163.1699981689453,154.61000061035156,163.0399932861328,2689900,BIDU
2018-12-27,160.5399932861328,161.9499969482422,156.0399932861328,161.5800018310547,2639500,BIDU
2018-12-28,162.02999877929688,164.61000061035156,160.60000610351562,162.1699981689453,2148200,BIDU
2018-12-31,163.8000030517578,164.39999389648438,157.52000427246094,158.60000610351562,2487600,BIDU
2019-01-02,156.17999267578125,164.3300018310547,155.49000549316406,162.25,2997000,BIDU
2019-01-03,158.75,159.8800048828125,153.77999877929688,154.7100067138672,3879200,BIDU
2019-01-04,157.60000610351562,162.42999267578125,157.25,160.9499969482422,3847500,BIDU
2019-01-07,162.60000610351562,164.49000549316406,158.50999450683594,162.60000610351562,3266100,BIDU
2019-01-08,162.19000244140625,163.88999938964844,158.16000366210938,163.39999389648438,3253400,BIDU
2019-01-09,166.72000122070312,168.41000366210938,165.47999572753906,166.63999938964844,3391500,BIDU
2019-01-10,164.97999572753906,168.4499969482422,162.91000366210938,168.35000610351562,2135400,BIDU
2019-01-11,167.85000610351562,168.35000610351562,164.67999267578125,166.11000061035156,2340400,BIDU
2019-01-14,162.82000732421875,163.97000122070312,161.58999633789062,163.02999877929688,1786800,BIDU
2019-01-15,164.42999267578125,169.94000244140625,164.39999389648438,167.92999267578125,2364000,BIDU
2019-01-16,169.6199951171875,171.3300018310547,168.55999755859375,169.75,2102000,BIDU
2019-01-17,167.83999633789062,169.94000244140625,164.5500030517578,168.11000061035156,3119500,BIDU
2019-01-18,170.5399932861328,174.27999877929688,169.8000030517578,171.36000061035156,3239400,BIDU
2019-01-22,167.35000610351562,167.4600067138672,158.52000427246094,160.38999938964844,7087600,BIDU
2019-01-23,162.0,163.36000061035156,158.89999389648438,163.25999450683594,4427800,BIDU
2019-01-24,163.25,163.5500030517578,161.0,162.6999969482422,2921900,BIDU
2019-01-25,164.99000549316406,168.05999755859375,163.39999389648438,167.10000610351562,2985900,BIDU
2019-01-28,164.17999267578125,168.22999572753906,162.72000122070312,167.5,2027500,BIDU
2019-01-29,167.91000366210938,167.97999572753906,164.14999389648438,165.27000427246094,1469600,BIDU
2019-01-30,166.72000122070312,170.10000610351562,165.25,169.33999633789062,2415100,BIDU
2019-01-31,171.0500030517578,175.08999633789062,170.36000061035156,172.6300048828125,3320400,BIDU
2019-02-01,172.67999267578125,173.5399932861328,169.3800048828125,171.27000427246094,2053900,BIDU
2019-02-04,172.35000610351562,175.5399932861328,171.00999450683594,173.94000244140625,1584100,BIDU
2019-02-05,175.30999755859375,176.88999938964844,173.5399932861328,176.22999572753906,1534200,BIDU
2019-02-06,176.22999572753906,176.5399932861328,173.58999633789062,173.85000610351562,1247500,BIDU
2019-02-07,173.52000427246094,173.9600067138672,170.05999755859375,171.5800018310547,1982700,BIDU
2019-02-08,170.4600067138672,170.47999572753906,166.66000366210938,169.89999389648438,2121900,BIDU
2019-02-11,172.22000122070312,172.3699951171875,166.57000732421875,168.05999755859375,2781700,BIDU
2019-02-12,169.0399932861328,171.5399932861328,169.00999450683594,170.25,2396700,BIDU
2019-02-13,172.97999572753906,175.35000610351562,171.7100067138672,173.82000732421875,2549100,BIDU
2019-02-14,173.5,174.9600067138672,171.5500030517578,174.0800018310547,2017200,BIDU
